tx	gene_id	HBRRep1	HBRRep2	HBRRep3	UHRRep1	UHRRep2	UHRRep3
ENST00000611186	ENSG00000278110	0	0	0	0	0	0
ENST00000611168	ENSG00000273907	0	0	0	0	0	0
ENST00000611403	ENSG00000273643	0	0	0	0	0	0
ENST00000619065	ENSG00000278008	0	0	0	0	1.920684	0
ENST00000342888	ENSG00000182824	0	0	0	0	3.818597	0
ENST00000611876	ENSG00000182824	0	0	0	0	4.643934	0
ENST00000412448	ENSG00000197421	0	0	0	0	0	0
ENST00000453783	ENSG00000197421	0	0	0	0	0	3.618007
ENST00000437537	ENSG00000239989	0	0	0	0	0	0
ENST00000445651	ENSG00000197421	0	0	0	0	0	0
ENST00000430306	ENSG00000197421	0	0	0	0	0	0
ENST00000428850	ENSG00000234764	0	0	0	22.967454	0	0
ENST00000419447	ENSG00000161103	0	0	0	0	0	0
ENST00000342005	ENSG00000161103	0	0	0	0	0	0
ENST00000412938	ENSG00000161103	0	0	0	0	4.206611	0.926561
ENST00000416498	ENSG00000161103	0	0	0	0	0	0
ENST00000511549	ENSG00000215544	0	0	0	0	0	0
ENST00000614596	ENSG00000276095	0	0	0	0	0	0
ENST00000623570	ENSG00000279987	0	0	0	0	0	0
ENST00000413981	ENSG00000183628	0	0	0	0	55.542902	0
ENST00000331444	ENSG00000183628	225.009013	232.885616	132.891659	24.595686	0	55.206552
ENST00000483718	ENSG00000183628	56.047929	71.486495	42.676602	0	5.582365	4.387819
ENST00000427407	ENSG00000183628	0	34.566797	0	28.603417	0	0
ENST00000608842	ENSG00000183628	114.899395	85.699167	78.221024	8.475194	15.476089	3.426045
ENST00000480608	ENSG00000183628	0	0	167.209713	0	0	0
ENST00000477156	ENSG00000183628	0	43.790288	0	0	0	0
ENST00000436645	ENSG00000183628	0	0	0	0	0	0
ENST00000610940	ENSG00000100033	0	0	0	0	19.31113	0
ENST00000491604	ENSG00000100033	59.285338	0	0	12.792197	0	13.872279
ENST00000420436	ENSG00000100033	0	0	0	0	0	0
ENST00000313755	ENSG00000100033	114.278154	0	107.63092	14.939848	18.170075	35.79924
ENST00000429300	ENSG00000100033	46.816773	58.022445	69.34334	2.876966	0	3.826467
ENST00000482858	ENSG00000100033	0	68.888972	47.73177	0	0	0
ENST00000334029	ENSG00000100033	172.626752	244.225098	183.492381	38.598568	0	18.742554
ENST00000357068	ENSG00000100033	0	0	0	0	0	0
ENST00000609229	ENSG00000100033	6.727666	19.647349	32.914042	5.183173	15.958643	7.568537
ENST00000446371	ENSG00000100033	0	0	0	0	0	0
ENST00000438924	ENSG00000100033	0	0	0	0	0	0
ENST00000399694	ENSG00000100033	0	0	0	0	0	0
ENST00000450579	ENSG00000100033	0	0	0	0	0	0
ENST00000457083	ENSG00000100033	41.318174	0	0	0	0	0
ENST00000496625	ENSG00000100033	164.182933	123.484507	126.265287	42.478727	29.820364	34.559564
ENST00000623496	ENSG00000279560	0	0	0	0	0	0
ENST00000624224	ENSG00000280418	0	1.047257	0	0	0	0
ENST00000438934	ENSG00000237517	242.664911	245.792553	221.73725	6.486808	6.056969	6.006414
ENST00000440005	ENSG00000283406	131.986967	112.035516	145.088382	0	0	0
ENST00000421572	ENSG00000237517	30.196836	0	0	0	0	0
ENST00000636418	ENSG00000283583	0	0	0	0	0	0
ENST00000399539	ENSG00000237517	0	45.955543	25.906141	0	0	7.693898
ENST00000604539	ENSG00000271275	0	0	0	0	0	0
ENST00000424407	ENSG00000283366	63.342935	51.869512	43.631823	0	0	0
ENST00000637415	ENSG00000283366	0	0	0	0	0	0
ENST00000609630	ENSG00000273032	163.926981	141.686986	139.135722	5.785546	0	7.118454
ENST00000603208	ENSG00000270393	0	11.015978	0	6.22726	0	15.1257
ENST00000609839	ENSG00000273164	87.76157	47.692992	53.667625	0	0	0
ENST00000481698	ENSG00000241527	0	0	0	0	8.781387	0
ENST00000537045	ENSG00000070413	0	0	0	0	0	0
ENST00000545799	ENSG00000070413	0	0	34.958175	0	0	0
ENST00000389262	ENSG00000070413	79.31552	52.557381	39.585437	4.285679	27.399561	14.012557
ENST00000263196	ENSG00000070413	555.679497	548.182	511.011771	280.723717	195.525056	293.10245
ENST00000467659	ENSG00000070413	9.448323	7.213732	22.101516	20.267651	6.186223	29.475785
ENST00000384012	ENSG00000206739	0	0	0	0	0	0
ENST00000609958	ENSG00000273311	18.468689	37.955477	46.698337	36.02882	18.930398	36.485309
ENST00000608548	ENSG00000070413	0	0	91.208661	0	99.562108	0
ENST00000412461	ENSG00000237347	0	0	0	0	0	0
ENST00000473832	ENSG00000070413	36.709404	33.812661	0	14.790281	0	0
ENST00000629517	ENSG00000281530	29.912287	0	54.949226	13.880012	20.397118	33.64172
ENST00000456035	ENSG00000223461	0	0	0	0	0	0
ENST00000609936	ENSG00000272682	0	0	0	0	4.799537	0
ENST00000450724	ENSG00000231086	0	0	0	0	10.79643	8.902248
ENST00000252137	ENSG00000100056	60.783378	34.021723	39.02055	17.7771	14.493084	21.270793
ENST00000399635	ENSG00000206203	0	0	0	0	0	3.236044
ENST00000434568	ENSG00000100056	0	133.096166	66.256623	108.739742	71.831558	115.27559
ENST00000472073	ENSG00000100056	55.418598	0	0	30.152054	30.118991	21.245939
ENST00000469466	ENSG00000100056	0	0	0	0	0	0
ENST00000086933	ENSG00000063515	0	0	0	0	0	0
ENST00000565162	ENSG00000260924	22.224772	6.084113	13.619454	34.10433	30.356868	37.595567
